eventID	eventType	device	device_operation_label	device_operation_subdevices	device_operation_devicetypes	sensor_id	start_date	end_date	start_time	end_time	lat_start	lon_start	lat_end	lon_end	start_depth_m	end_depth_m	eventDate	eventTime	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT
PS149_16-5	station	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	e0d55827-0762-4c94-bae3-ca8b44259bea	2025-07-14	2025-07-14	21:44:00	00:18:49	85.0330	13.6679	85.0329	13.8071	2840.3	2882	2025-07-14	21:44:00/00:18:49	85.0330	 13.7375	671	LINESTRING(13.6679 85.0330, 13.8071 85.0329)
PS149_16-6	station	Bongo Net	BONGO_PS		net	359bd2ab-a667-4d8a-bf5b-c06a84120e33	2025-07-15	2025-07-15	10:36:36	11:08:16	84.9951	13.9214	84.9925	13.9585	3181.5	3009.1	2025-07-15	10:36:36/11:08:16	84.9938	 13.9400	231	LINESTRING(13.9214 84.9951, 13.9585 84.9925)
PS149_16-7	station	Marine Snow Catcher	MSC_PS		water sampler	7c1da4f0-e495-4e05-aad6-e5aa362a820b	2025-07-15	2025-07-15	11:09:03	11:26:02	84.9924	13.9594	84.9906	13.9779	0	2852.8	2025-07-15	11:09:03/11:26:02	84.9915	 13.9687	135	LINESTRING(13.9594 84.9924, 13.9779 84.9906)
PS149_16-8	station	Multinet Midi 5 Nets 55 ?m	mn_s5_ps_55		net	798f7a48-587d-4257-afa7-5b1c81e7df61	2025-07-15	2025-07-15	11:26:32	14:17:18	84.9905	13.9785	84.9602	14.1044	2872.1	3182.2	2025-07-15	11:26:32/14:17:18	84.9753	 14.0415	1795	LINESTRING(13.9785 84.9905, 14.1044 84.9602)
PS149_16-9	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	9c536cc7-8974-441c-a5d5-5f8ac367f5d4	2025-07-15	2025-07-15	14:21:27	15:18:18	84.9592	14.1057	84.9464	14.1158	3193.3	3704.4	2025-07-15	14:21:27/15:18:18	84.9528	 14.1108	714	LINESTRING(14.1057 84.9592, 14.1158 84.9464)
PS149_17-1	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	9c536cc7-8974-441c-a5d5-5f8ac367f5d4	2025-07-18	2025-07-18	15:27:27	17:39:09	84.5802	-0.3064	84.5777	-0.2592	4488.7	3941.2	2025-07-18	15:27:27/17:39:09	84.5789	 -0.2828	285	LINESTRING(-0.3064 84.5802, -0.2592 84.5777)
PS149_17-2	station	Hand Net	HN_PS		net	50ce87fc-bae0-46a2-bd54-51f4cc3dda50	2025-07-18	2025-07-18	15:46:09	15:52:22	84.5798	-0.3090	84.5796	-0.3083	3821	3808.3	2025-07-18	15:46:09/15:52:22	84.5797	 -0.3086	12	LINESTRING(-0.3090 84.5798, -0.3083 84.5796)
PS149_17-3	station	Hand Net	HN_PS		net	50ce87fc-bae0-46a2-bd54-51f4cc3dda50	2025-07-18	2025-07-18	16:44:18	16:53:45	84.5782	-0.2967	84.5780	-0.2915	3912.1	3920.6	2025-07-18	16:44:18/16:53:45	84.5781	 -0.2941	30	LINESTRING(-0.2967 84.5782, -0.2915 84.5780)
PS149_17-4	station	Multinet Midi 5 Nets	MN_S5_PS		net	ce8e77e3-c691-46d0-a10b-add799c10a4d	2025-07-18	2025-07-18	17:48:54	20:16:00	84.5782	-0.2648	84.5808	-0.2752	3937.6	3915.3	2025-07-18	17:48:54/20:16:00	84.5795	 -0.2700	155	LINESTRING(-0.2648 84.5782, -0.2752 84.5808)
PS149_18-1	station	Ship-supported ice station	ship_icestation		pack ice	3f86bc00-2d39-11ef-ba7e-005056a5aa32	2025-07-19	2025-07-22	19:45:41	20:00:00	84.4820	-17.8762	84.3491	-17.8860	3392.7	3407.1	2025-07-19T19:45:41Z/2025-07-22T20:00:00Z		84.4156	-17.8811	7397	LINESTRING(-17.8762 84.4820, -17.8860 84.3491)
PS149_18-10	station	Bongo Net	BONGO_PS		net	359bd2ab-a667-4d8a-bf5b-c06a84120e33	2025-07-20	2025-07-20	16:56:54	17:15:45	84.4562	-17.8803	84.4548	-17.8806	3406.3	3406.9	2025-07-20	16:56:54/17:15:45	84.4555	-17.8804	78	LINESTRING(-17.8803 84.4562, -17.8806 84.4548)
PS149_18-11	station	Marine Snow Catcher	MSC_PS		water sampler	7c1da4f0-e495-4e05-aad6-e5aa362a820b	2025-07-20	2025-07-20	20:23:46	21:00:04	84.4431	-17.9385	84.4421	-17.9557	3410	3410.2	2025-07-20	20:23:46/21:00:04	84.4426	-17.9471	108	LINESTRING(-17.9385 84.4431, -17.9557 84.4421)
PS149_18-12	profile	Remotely ObServing INsitu camera for Aggregates	ROSINA		underwater cameras	e0d55827-0762-4c94-bae3-ca8b44259bea	2025-07-20	2025-07-20	21:49:51	00:07:22	84.4414	-17.9773	84.4424	-18.0011	3410.6	3410.7	2025-07-20	21:49:51/00:07:22	84.4419	-17.9892	140	LINESTRING(-17.9773 84.4414, -18.0011 84.4424)
PS149_18-13	station	Marine Snow Catcher	MSC_PS		water sampler	7c1da4f0-e495-4e05-aad6-e5aa362a820b	2025-07-22	2025-07-22	11:12:51	11:35:25	84.3719	-17.8936	84.3716	-17.8946	3406.8	3406.8	2025-07-22	11:12:51/11:35:25	84.3717	-17.8941	18	LINESTRING(-17.8936 84.3719, -17.8946 84.3716)
PS149_18-14	station	PacificGyre SVP5S 2025O32	2025O32		Buoy	922c233a-9222-4f6e-a326-e15a5dddc15b	2025-07-22	2025-07-22	20:15:03	21:21:02	84.3506	-17.7655	84.3483	-17.7599	3402.1	3400.8	2025-07-22	20:15:03/21:21:02	84.3494	-17.7627	132	LINESTRING(-17.7655 84.3506, -17.7599 84.3483)
PS149_18-2	station	CTD AWI-OZE (Piglet)	CTD_SBE9plus_287		CTD	9c536cc7-8974-441c-a5d5-5f8ac367f5d4	2025-07-19	2025-07-19	22:09:51	00:54:26	84.4828	-17.9277	84.4875	-17.9255	3394.6	3390.9	2025-07-19	22:09:51/00:54:26	84.4852	-17.9266	262	LINESTRING(-17.9277 84.4828, -17.9255 84.4875)
PS149_18-3	station	Hand Net	HN_PS		net	50ce87fc-bae0-46a2-bd54-51f4cc3dda50	2025-07-19	2025-07-19	22:26:34	22:43:35	84.4832	-17.9318	84.4837	-17.9350	3394.5	3393.5	2025-07-19	22:26:34/22:43:35	84.4834	-17.9334	33	LINESTRING(-17.9318 84.4832, -17.9350 84.4837)
PS149_18-4	station	XCTD-Deck-Unit	XCTD_MK150_1		CTD	392ff207-2560-4b36-9932-1c8639e9d836	2025-07-19	2025-07-19	00:54:59	01:02:54	84.4875	-17.9254	84.4876	-17.9231	3391.1	3391.3	2025-07-19	00:54:59/01:02:54	84.4876	-17.9243	13	LINESTRING(-17.9254 84.4875, -17.9231 84.4876)
PS149_18-5	station	Multinet Midi 5 Nets	MN_S5_PS		net	ce8e77e3-c691-46d0-a10b-add799c10a4d	2025-07-20	2025-07-20	10:26:16	12:15:19	84.4665	-17.9369	84.4668	-17.9435	3401.5	3401.5	2025-07-20	10:26:16/12:15:19	84.4666	-17.9402	39	LINESTRING(-17.9369 84.4665, -17.9435 84.4668)
